Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
"Combine BPC quality, reliability, ease of use",EMEA,SUD,Batch & Blast,Awareness,Labtainer Pro EMEA Email 1,EM5101454,20284,20397,20397,0,100%,3897,19%,165,4%,$67963
Chromatography Learning Lab에서 다운스트림 정제를 위한 최신 리소스를 확인해 보세요,APJ,To Be Mapped,Batch & Blast,Awareness,EM5106684_Modality-email-nurture-campaign_EM3,EM5106684,1787,1787,1787,0,100%,578,32%,25,4%,
Chromatography Learning Lab 을 통하여mRNA 정제 속도를 높이는 방법을 확인해 보세요,APJ,To Be Mapped,Batch & Blast,Awareness,EM5106680_Modality-email-nurture-campaign_EM1,EM5106680,837,837,837,0,100%,46,5%,0,0%,
Choosing the best media format for your process,AMER,BCD,MAP,Awareness,RO-eT2-MAP COF Rapid Prototyping Track EM3-Global,EM5082775,3130,3310,3305,5,100%,2458,74%,2076,84%,$804371
Choosing the best media format for your process,APJ,BCD,MAP,Awareness,RO-eT2-MAP COF Rapid Prototyping Track EM3-Global,EM5082775,636,678,675,3,100%,176,26%,29,16%,$21939
Choosing the best media format for your process,EMEA,BCD,MAP,Awareness,RO-eT2-MAP COF Rapid Prototyping Track EM3-Global,EM5082775,689,764,763,1,100%,257,34%,45,18%,$83645
Choosing the best media format for your process,To Be Mapped,BCD,MAP,Awareness,RO-eT2-MAP COF Rapid Prototyping Track EM3-Global,EM5082775,1460,1484,1473,11,99%,1090,73%,1083,99%,
Choose the right clean containers for your biologics,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094104_BPG Vaccine Series Email EM2,EM5094104,299,299,297,2,99%,73,24%,7,10%,
Choose Pro for your media and feed system,AMER,BCD,MAP,Awareness,eT4-BPG-CCCT-Efficient Pro MAP Bundle-mAb Manufact,EM5099649,114,114,114,0,100%,107,94%,42,39%,
Choose our highest level of clean,AMER,SUD,Batch & Blast,Awareness,Revise Existing-SUD Platinum Clean Email-Americas,EM5092501,3996,3998,3960,38,99%,2569,64%,630,25%,$1473791
Choose our highest level of clean,EMEA,SUD,Batch & Blast,Awareness,SUT Rigid Email 1 EMEA,EM5101186,19829,27971,27971,0,100%,7138,26%,580,8%,$260000
CHO media to maximize performance,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM Edits - Level Up your CHO Cell Pr,EM5105643,2535,2535,2535,0,100%,892,35%,50,6%,$1000
CHO media to maximize performance,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM Edits - Level Up your CHO Cell Pr,EM5105643,326,326,326,0,100%,112,34%,0,0%,
Chemical supply chain insights,AMER,BCD,Batch & Blast,Webinar,BPG-PCS - NEW EM - Spotlight_Building Process Resi,EM5104916,923,923,923,0,100%,320,35%,7,2%,$94953
Check out this second-quarter edition of the Gibco™ newsletter,APJ,BCD,Batch & Blast,News Letter,EM5104201_second-quarter-edition-of-the-Gibco™-newsletter,EM5104201,387,387,387,0,100%,65,17%,1,2%,$5217276
Check out the latest resources from the Chromatography Learning Lab for developing protein therapeutics,APJ,To Be Mapped,Batch & Blast,Awareness,EM5106682_Modality-email-nurture-campaign_EM2,EM5106682,595,599,599,0,100%,209,35%,43,21%,
cGMP white paper—improve supply chain costs,AMER,BCD,Batch & Blast,Download,SO - PCS TCO Gated download email - Americas,EM5092263,14525,13620,13474,146,99%,9095,67%,2342,26%,$647743
cGMP supply chain white paper,AMER,BCD,Batch & Blast,Download,SO - Email - Enhance the cost-effectiveness PCS-Am,EM5087805,4311,4311,4304,7,100%,4390,102%,4929,112%,$92205
cGMP supply chain white paper,AMER,BCD,MAP,Consideration,eT4 MAP -Resend - BPG - PCS  - Streamline TCO - EM,EM5094972,112,114,114,0,100%,83,73%,57,69%,$133000
cGMP supply chain white paper,EMEA,BCD,Batch & Blast,Download,Chemicals White Paper Email-Email2-EMEA,EM5092240,5760,5760,5707,53,99%,1251,22%,119,10%,
cGMP supply chain white paper,EMEA,BCD,MAP,Consideration,eT4 MAP -Resend - BPG - PCS  - Streamline TCO - EM,EM5094972,1277,1281,1281,0,100%,645,50%,220,34%,
cGMP supply chain white paper,To Be Mapped,BCD,Batch & Blast,Download,SO - Email - Enhance the cost-effectiveness PCS-Am,EM5087805,2287,2287,2256,31,99%,1864,82%,2359,127%,
cGMP supply chain white paper,To Be Mapped,BCD,MAP,Consideration,eT4 MAP -Resend - BPG - PCS  - Streamline TCO - EM,EM5094972,124,124,124,0,100%,82,66%,68,83%,
cGMP chemical sourcing with a trusted partner,EMEA,BCD,Batch & Blast,Awareness,Avantor Partnership -Email1-EMEA,EM5090221,5678,5678,5618,60,99%,1638,29%,325,20%,
Cell Therapy Manufacturing: Mycoplasma Testing and Lot-Release Webinar,APJ,To Be Mapped,Batch & Blast,Webinar,EM5092750_Cell Therapy - Mycoplasma Testing Webinar,EM5092750,2842,2845,2825,20,99%,962,34%,156,16%,
CD microbial medium for fermentation processes,AMER,BCD,Batch & Blast,Awareness,CCCT - SO EM No Edits - Bacto CD Supreme FPM - AME,EM5101747,6921,6921,6921,0,100%,1630,24%,177,11%,$62757
CD microbial medium for fermentation processes,To Be Mapped,BCD,Batch & Blast,Awareness,CCCT - SO EM No Edits - Bacto CD Supreme FPM - AME,EM5101747,594,594,594,0,100%,157,26%,22,14%,
CB microbial medium for fermentation processes,EMEA,BCD,Batch & Blast,Download,Bacto CD Supreme Email 1 EMEA,EM5102126,340,342,342,0,100%,81,24%,27,33%,
Case study: maximize drug product recovery,AMER,SUD,Batch & Blast,Awareness,BPG-DIV SO Fill Finish Case Study Email - AMERICAS,EM5106220,6402,8312,8312,0,100%,2243,27%,141,6%,$414453
Case study: maximise drug product recovery,EMEA,SUD,Batch & Blast,Awareness,FillFinishCaseStudyEmail-Email4-EMEA,EM5106246,21002,21004,21004,0,100%,6060,29%,171,3%,
CaptureSelect ™ AAVX Ligand Leakage ELISA kit 로 실험시간을 50% 단축해 보세요,APJ,PPA,Batch & Blast,To Be Mapped,EM5102900_AAVX ligand leakage ELISA kit,EM5102900,1790,1790,1790,0,100%,563,31%,34,6%,$2916352
CaptureSelect ™ AAVX Ligand Leakage ELISA kit 로 실험시간을 50% 단축해 보세요,To Be Mapped,PPA,Batch & Blast,To Be Mapped,EM5102900_AAVX ligand leakage ELISA kit,EM5102900,950,950,950,0,100%,319,34%,13,4%,
"Buy three, pay for two",AMER,PPA,Batch & Blast,Promotion,BPG-PA SO resDNASEQ Buy 3 for Price of 2 Promo Ema,EM5107220,1544,1544,1544,0,100%,453,29%,9,2%,
"Buy three, pay for two",To Be Mapped,PPA,Batch & Blast,Promotion,BPG-PA SO resDNASEQ Buy 3 for Price of 2 Promo Ema,EM5107220,140,140,140,0,100%,50,36%,3,6%,
Buy now–residual host cell DNA quantitation kit,AMER,PPA,MAP,Cross-Sell,eP3 - PPA Map-PA-em7-MycoSEQ-Conversion,EM5077280,167,174,174,0,100%,177,102%,101,57%,
Buy now–residual host cell DNA quantitation kit,EMEA,PPA,MAP,Cross-Sell,eP3 - PPA Map-PA-em7-MycoSEQ-Conversion,EM5077280,106,105,105,0,100%,93,89%,114,123%,
Buy now–residual host cell DNA quantitation kit,To Be Mapped,PPA,MAP,Cross-Sell,eP3 - PPA Map-PA-em7-MycoSEQ-Conversion,EM5077280,138,140,140,0,100%,149,106%,184,123%,
Buy now–In-house mycoplasma detection kit,AMER,PPA,MAP,Cross-Sell,eT3 - PPA Map-PA-em4-MycoSEQ-Conversion,EM5077286,408,440,440,0,100%,449,102%,271,60%,
Buy now–In-house mycoplasma detection kit,APJ,PPA,MAP,Cross-Sell,eT3 - PPA Map-PA-em4-MycoSEQ-Conversion,EM5077286,99,105,105,0,100%,103,98%,55,53%,
Buy now–In-house mycoplasma detection kit,EMEA,PPA,MAP,Cross-Sell,eT3 - PPA Map-PA-em4-MycoSEQ-Conversion,EM5077286,301,318,317,1,100%,277,87%,213,77%,
Buy now–In-house mycoplasma detection kit,To Be Mapped,PPA,MAP,Cross-Sell,eT3 - PPA Map-PA-em4-MycoSEQ-Conversion,EM5077286,328,338,338,0,100%,375,111%,311,83%,
Bundle resDNASEQ kits and save,AMER,PPA,Batch & Blast,Promotion,BPG-PA SO resDNASEQ AAV Bundle Promo Email - AMERI,EM5107219,1788,1788,1788,0,100%,825,46%,46,6%,
Build cGMP supply chain efficiency,AMER,BCD,Batch & Blast,Download,SO - Email - Enhance the cost-effectiveness PCS-Am,EM5087805,2141,2141,2134,7,100%,2241,105%,3289,147%,$92205
Build cGMP supply chain efficiency,To Be Mapped,BCD,Batch & Blast,Download,SO - Email - Enhance the cost-effectiveness PCS-Am,EM5087805,1216,1216,1186,30,98%,1016,84%,1527,150%,
Build a stronger cGMP supply chain,AMER,BCD,Batch & Blast,Awareness,RUSH-SO-PCS Chemical TCO email EM5-Americas,EM5090586,6888,6888,6811,77,99%,3100,45%,1067,34%,$612241
Brochure: unlock bioprocessing,AMER,PPA,Batch & Blast,Download,BPG-PPA - eP3 BioTech Campaign Capabilities Brochu,EM5104257,3728,3728,3728,0,100%,666,18%,79,12%,$41137
Brochure: pharma analytics assays,AMER,PPA,MAP,Cross-Sell,eP4 - MAP - PA General - PA Brochure - EM1 - Globa,EM5091529,2604,2852,2852,0,100%,627,22%,183,29%,
Brochure: pharma analytics assays,APJ,PPA,MAP,Cross-Sell,eP4 - MAP - PA General - PA Brochure - EM1 - Globa,EM5091529,487,525,525,0,100%,92,18%,101,110%,$6559
Brochure: pharma analytics assays,EMEA,PPA,MAP,Cross-Sell,eP4 - MAP - PA General - PA Brochure - EM1 - Globa,EM5091529,1581,1738,1738,0,100%,317,18%,72,23%,$4000
Brochure: pharma analytics assays,To Be Mapped,PPA,MAP,Cross-Sell,eP4 - MAP - PA General - PA Brochure - EM1 - Globa,EM5091529,1580,1784,1784,0,100%,337,19%,64,19%,
Brochure: Gibco Media by Design Services,AMER,BCD,MAP,Awareness,BPG - CCCT - eT3 - MAP - Gibco Media by Design - G,EM5103779,1191,1191,1191,0,100%,994,83%,48,5%,
Brochure: Gibco Media by Design Services,APJ,BCD,MAP,Awareness,BPG - CCCT - eT3 - MAP - Gibco Media by Design - G,EM5103779,186,186,186,0,100%,107,58%,6,6%,
Brochure: Gibco Media by Design Services,EMEA,BCD,MAP,Awareness,BPG - CCCT - eT3 - MAP - Gibco Media by Design - G,EM5103779,1908,1908,1908,0,100%,1656,87%,32,2%,
Brochure: Gibco Media by Design Services,To Be Mapped,BCD,MAP,Awareness,BPG - CCCT - eT3 - MAP - Gibco Media by Design - G,EM5103779,1159,1159,1159,0,100%,952,82%,37,4%,
Brochure: AAV workflow scale-up solutions,AMER,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Scale Up,EM5100218,2345,2345,2345,0,100%,297,13%,87,29%,
Brochure: AAV workflow scale-up solutions,APJ,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Scale Up,EM5100218,700,700,700,0,100%,177,25%,21,12%,
Brochure: AAV workflow scale-up solutions,EMEA,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Scale Up,EM5100218,1137,1137,1137,0,100%,536,47%,50,9%,$183311
Brochure: AAV workflow scale-up solutions,To Be Mapped,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Scale Up,EM5100218,509,509,509,0,100%,109,21%,19,17%,
"Broad applicability, flexible scale",AMER,SUD,MAP,Awareness,eT1-BPG-SUD-MAP DynaDrive Email 2,EM5095463,5650,5659,5644,15,100%,5577,99%,481,9%,$988716
"Broad applicability, flexible scale",APJ,SUD,MAP,Awareness,eT1-BPG-SUD-MAP DynaDrive Email 2,EM5095463,110,110,108,2,98%,49,45%,36,73%,
"Broad applicability, flexible scale",To Be Mapped,SUD,MAP,Awareness,eT1-BPG-SUD-MAP DynaDrive Email 2,EM5095463,1210,1210,1200,10,99%,1260,104%,396,31%,
BPCs—superior retention for less risk,AMER,SUD,MAP,Awareness,eT3-MAP Assurance of Supply Labtainer Pro EM4-Glob,EM5087152,3011,3058,3050,8,100%,2514,82%,584,23%,
BPCs—superior retention for less risk,APJ,SUD,MAP,Awareness,eT3-MAP Assurance of Supply Labtainer Pro EM4-Glob,EM5087152,175,179,178,1,99%,76,42%,15,20%,
BPCs—superior retention for less risk,EMEA,SUD,MAP,Awareness,eT3-MAP Assurance of Supply Labtainer Pro EM4-Glob,EM5087152,6222,6243,6230,13,100%,5343,86%,933,17%,
BPCs—superior retention for less risk,To Be Mapped,SUD,MAP,Awareness,eT3-MAP Assurance of Supply Labtainer Pro EM4-Glob,EM5087152,2363,2366,2341,25,99%,1790,76%,511,29%,
Boost your mAb process,EMEA,PPA,Batch & Blast,Awareness,NPI-PUR-MMCEX-LAUNCH-Email1-EMEA,EM5107497,13892,13894,13894,0,100%,6919,50%,323,5%,$3607
Boost your Cell Culture Efficiency,AMER,SUD,Batch & Blast,Awareness,SO-SL-In-Stock Cell Factory System Email-Americas,EM5100903,6617,6624,6624,0,100%,2074,31%,239,12%,$708904
Boost your Cell Culture Efficiency,APJ,SUD,Batch & Blast,To Be Mapped,EM5100761_Nunc Cell Factories,EM5100761,7218,7220,7220,0,100%,1934,27%,76,4%,$1089891
Boost your Cell Culture Efficiency,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5100761_Nunc Cell Factories,EM5100761,1951,1960,1960,0,100%,645,33%,35,5%,
Boost your bioprocessing with our next-gen S.U.B.,AMER,To Be Mapped,Batch & Blast,Download,BPG - eT3 BioTech Campaign App Note EM4 - AMERICAS,EM5105070,7213,7213,7213,0,100%,1073,15%,75,7%,
Boost supply chain resilience,AMER,BCD,Batch & Blast,Webinar,BPG-PCS - NEW EM - Spotlight_Building Process Resi,EM5104916,1257,1257,1257,0,100%,320,25%,18,6%,$94953
Boost supply chain resilience,To Be Mapped,BCD,Batch & Blast,Webinar,BPG-PCS - NEW EM - Spotlight_Building Process Resi,EM5104916,106,106,106,0,100%,43,41%,2,5%,
"Bioreactors built for excellence - watch video, download assets.",AMER,To Be Mapped,MAP,Awareness,eP4-MAP CDMO for DD Video EM1-Global,EM5084590,542,544,544,0,100%,271,50%,171,63%,
"Bioreactors built for excellence - watch video, download assets.",APJ,To Be Mapped,MAP,Awareness,eP4-MAP CDMO for DD Video EM1-Global,EM5084590,117,117,117,0,100%,39,33%,6,15%,
"Bioreactors built for excellence - watch video, download assets.",EMEA,To Be Mapped,MAP,Awareness,eP4-MAP CDMO for DD Video EM1-Global,EM5084590,304,305,305,0,100%,84,28%,24,29%,
"Bioreactors built for excellence - watch video, download assets.",To Be Mapped,To Be Mapped,MAP,Awareness,eP4-MAP CDMO for DD Video EM1-Global,EM5084590,268,268,263,5,98%,119,44%,123,103%,
Bioprocessing storage solutions,AMER,SUD,Batch & Blast,Awareness,BPG-SUD Spinoff Storage Transport Sampling Email -,EM5105835,2112,2112,2112,0,100%,1244,59%,64,5%,
Bioprocessing storage solutions,To Be Mapped,SUD,Batch & Blast,Awareness,BPG-SUD Spinoff Storage Transport Sampling Email -,EM5105835,290,290,290,0,100%,178,61%,21,12%,
Bioprocessing application note series,AMER,To Be Mapped,Batch & Blast,Download,BPG - eT3 BioTech Campaign App Note EM4 - AMERICAS,EM5105070,6910,6910,6910,0,100%,1641,24%,197,12%,
Bioprocess New Article – 보다 생산적인 Harvest process를 만들기 위한 고려사항 Top 5,APJ,SUD,Batch & Blast,To Be Mapped,EM5100878_DynaSpin NPI,EM5100878,2829,2829,2829,0,100%,809,29%,52,6%,$993345
Bioprocess New Article – 보다 생산적인 Harvest process를 만들기 위한 고려사항 Top 5,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5100878_DynaSpin NPI,EM5100878,1208,1209,1209,0,100%,545,45%,34,6%,
Bioprocess innovation: read more,AMER,PPA,Batch & Blast,Download,BPG-PPA - eP3 BioTech Campaign Capabilities Brochu,EM5104257,3685,3685,3685,0,100%,919,25%,176,19%,$41137
BioProcess Container - 卓越且低風險的儲存系統,APJ,SUD,MAP,Awareness,TW-EM4-Email4-IPAC - Taiwan,EM5089214,101,101,92,9,91%,28,28%,6,21%,
"Biopharmaceutical testing—rapid, accurate",AMER,PPA,MAP,Cross-Sell,eT1 - MAP - PA General - PA Intro Multiple Product,EM5091578,2456,2665,2665,0,100%,658,25%,128,19%,
"Biopharmaceutical testing—rapid, accurate",APJ,PPA,MAP,Cross-Sell,eT1 - MAP - PA General - PA Intro Multiple Product,EM5091578,443,469,469,0,100%,100,21%,25,25%,
"Biopharmaceutical testing—rapid, accurate",EMEA,PPA,MAP,Cross-Sell,eT1 - MAP - PA General - PA Intro Multiple Product,EM5091578,1483,1628,1628,0,100%,261,16%,38,15%,
"Biopharmaceutical testing—rapid, accurate",To Be Mapped,PPA,MAP,Cross-Sell,eT1 - MAP - PA General - PA Intro Multiple Product,EM5091578,1478,1656,1656,0,100%,340,21%,51,15%,
Be the first to visit Bioprocess Design Center Singapore,APJ,To Be Mapped,Batch & Blast,Webinar,EM5092681_BDC_EMAIL,EM5092681,249,249,245,4,98%,31,12%,1,3%,
Avoid particulate contamination,AMER,SUD,Batch & Blast,Awareness,BPG - SUD - SO EM - Nalgene Bioproduction Containe,EM5103485,3167,3167,3167,0,100%,973,31%,33,3%,$228900
Avoid particulate contamination,To Be Mapped,SUD,Batch & Blast,Awareness,BPG - SUD - SO EM - Nalgene Bioproduction Containe,EM5103485,268,268,268,0,100%,78,29%,2,3%,
Automate T cell therapy manufacturing,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT-SO No Edits-DynaCellect Email 1-Americas,EM5099749,3353,3353,3353,0,100%,1051,31%,27,3%,$623435
Automate T cell therapy manufacturing,EMEA,BCD,Batch & Blast,Awareness,DynaCellect_EMEA_Email 1,EM5100294,11401,11402,11402,0,100%,2812,25%,282,10%,$383826
Article: media development collaboration,AMER,BCD,MAP,Awareness,BPG - CCCT - eT2 - MAP - Gibco Media by Design - G,EM5103778,4323,4323,4323,0,100%,1218,28%,81,7%,
Article: media development collaboration,APJ,BCD,MAP,Awareness,BPG - CCCT - eT2 - MAP - Gibco Media by Design - G,EM5103778,810,810,810,0,100%,166,20%,7,4%,
Article: media development collaboration,EMEA,BCD,MAP,Awareness,BPG - CCCT - eT2 - MAP - Gibco Media by Design - G,EM5103778,5811,5811,5811,0,100%,2007,35%,51,3%,
Article: media development collaboration,To Be Mapped,BCD,MAP,Awareness,BPG - CCCT - eT2 - MAP - Gibco Media by Design - G,EM5103778,4960,4960,4960,0,100%,1135,23%,77,7%,
Are your containers clean enough?,AMER,SUD,Batch & Blast,Download,Revise Existing-SUD ebook platinum clean email-Ame,EM5092503,1575,1575,1568,7,100%,1048,67%,183,17%,$838413
Are your containers clean enough?,To Be Mapped,SUD,Batch & Blast,Download,Revise Existing-SUD ebook platinum clean email-Ame,EM5092503,413,413,404,9,98%,283,69%,228,81%,
Are you using the most efficient solutions?,AMER,SUD,Batch & Blast,Awareness,BPG-SUD Spinoff Storage Transport Sampling Email -,EM5105835,3369,3369,3369,0,100%,1329,39%,103,8%,
Are you using the most efficient solutions?,EMEA,SUD,Batch & Blast,Awareness,FlexibleRigidStorageTransportSamplingEmail-Email5-EMEA,EM5105839,12681,12683,12683,0,100%,3668,29%,203,6%,
Are you using the most efficient solutions?,To Be Mapped,SUD,Batch & Blast,Awareness,BPG-SUD Spinoff Storage Transport Sampling Email -,EM5105835,731,731,731,0,100%,219,30%,5,2%,
Are you registered for Bioprocess Next?,AMER,To Be Mapped,Batch & Blast,Event,eT1-BioProcess Next Keynote Speaker Email EM2-Amer,EM5088832,5184,5184,5166,18,100%,2353,45%,793,34%,
Are you registered for Bioprocess Next?,To Be Mapped,To Be Mapped,Batch & Blast,Event,eT1-BioProcess Next Keynote Speaker Email EM2-Amer,EM5088832,2076,2076,2033,43,98%,799,38%,572,72%,
Are you meeting USP <788> standards?,AMER,SUD,Batch & Blast,Download,Revise Existing-SUD ebook platinum clean email-Ame,EM5092503,2978,2978,2964,14,100%,2021,68%,338,17%,$838413
Are you meeting USP <788> standards?,To Be Mapped,SUD,Batch & Blast,Download,Revise Existing-SUD ebook platinum clean email-Ame,EM5092503,921,922,891,31,97%,682,74%,182,27%,
Applications of Genetic Analysis for Biopharma Webinar starts tomorrow - Register now!,APJ,To Be Mapped,Batch & Blast,Event,EM5095778_APJ CE Biopharma Webinar Email EM4,EM5095778,9453,9459,9420,39,100%,4671,49%,921,20%,
Applications of Genetic Analysis for Biopharma Webinar - Now Available on Demand,APJ,To Be Mapped,Batch & Blast,Event,EM5095780_APJ CE Biopharma Webinar Email EM5,EM5095780,6118,6123,6100,23,100%,2661,43%,544,20%,
Applications of Genetic Analysis for Biopharma Webinar,APJ,To Be Mapped,Batch & Blast,Event,EM5095774_APJ CE Biopharma Webinar Email EM2,EM5095774,4962,4962,4945,17,100%,2256,45%,418,19%,
Applications of Genetic Analysis for Biopharma Webinar,APJ,To Be Mapped,Batch & Blast,Event,EM5095776_APJ CE Biopharma Webinar Email EM3,EM5095776,5168,5174,5143,31,99%,1958,38%,331,17%,
App notes: reliable and cost-efficient DynaDrive S.U.B.,AMER,SUD,Batch & Blast,Download,EM5101037_DynaDrive_scaleup,EM5101037,1694,1694,1694,0,100%,497,29%,34,7%,$861216
App notes: reliable and cost-efficient DynaDrive S.U.B.,To Be Mapped,SUD,Batch & Blast,Download,EM5101037_DynaDrive_scaleup,EM5101037,167,167,167,0,100%,58,35%,37,64%,
App notes: DynaDrive S.U.B.,AMER,SUD,Batch & Blast,Webinar,Dynadrive App Note Email 1,EM5101579,511,516,516,0,100%,192,37%,6,3%,
App notes: DynaDrive S.U.B.,APJ,SUD,Batch & Blast,Webinar,Dynadrive App Note Email 1,EM5101579,123,123,123,0,100%,26,21%,0,0%,
App notes: DynaDrive S.U.B.,EMEA,SUD,Batch & Blast,Webinar,Dynadrive App Note Email 1,EM5101579,21501,21606,21606,0,100%,5289,24%,241,5%,$329500
App notes: DynaDrive S.U.B.,To Be Mapped,SUD,Batch & Blast,Webinar,Dynadrive App Note Email 1,EM5101579,921,924,924,0,100%,293,32%,19,6%,
App note: longer T cell workflows,AMER,BCD,MAP,Awareness,CCCT-eP5-MAP-Cell Therapy Day 42 EM7-Global,EM5085831,3024,3081,3077,4,100%,1307,42%,542,41%,$2029
App note: longer T cell workflows,APJ,BCD,MAP,Awareness,CCCT-eP5-MAP-Cell Therapy Day 42 EM7-Global,EM5085831,739,744,742,2,100%,189,25%,34,18%,
App note: longer T cell workflows,EMEA,BCD,MAP,Awareness,CCCT-eP5-MAP-Cell Therapy Day 42 EM7-Global,EM5085831,727,738,737,1,100%,203,28%,13,6%,$1
App note: longer T cell workflows,To Be Mapped,BCD,MAP,Awareness,CCCT-eP5-MAP-Cell Therapy Day 42 EM7-Global,EM5085831,1305,1322,1300,22,98%,458,35%,256,56%,
Antibody purification workflow – a new source of protein A,APJ,To Be Mapped,Batch & Blast,Awareness,EM5090923_mAb-campaign-EM3,EM5090923,1330,1330,1324,6,100%,509,38%,84,17%,
Answering biomanufacturing questions,AMER,PPA,MAP,Cross-Sell,eT3 - MAP - PA General - Contact TSS - EM4 - Globa,EM5091566,461,461,461,0,100%,380,82%,45,12%,
Answering biomanufacturing questions,EMEA,PPA,MAP,Cross-Sell,eT3 - MAP - PA General - Contact TSS - EM4 - Globa,EM5091566,228,228,228,0,100%,169,74%,24,14%,$9000
Answering biomanufacturing questions,To Be Mapped,PPA,MAP,Cross-Sell,eT3 - MAP - PA General - Contact TSS - EM4 - Globa,EM5091566,216,216,216,0,100%,175,81%,13,7%,
Announcing new Gibco process liquid,AMER,BCD,Batch & Blast,Awareness,BPG-PLPS - SO EM No Edits - Gibco NPI Ethanol - AM,EM5106649,1755,1755,1755,0,100%,796,45%,69,9%,$195241
Announcing new Gibco process liquid,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-PLPS - SO EM No Edits - Gibco NPI Ethanol - AM,EM5106649,155,155,155,0,100%,82,53%,5,6%,
Announcing 15-week lead times for POROS chromatography resin orders,APJ,PPA,Batch & Blast,Awareness,EM5100987_Announcing 15-week lead times on POROS,EM5100987,7956,7958,7958,0,100%,2166,27%,66,3%,$3106784
Announcing 15-week lead times for POROS chromatography resin orders,To Be Mapped,PPA,Batch & Blast,Awareness,EM5100987_Announcing 15-week lead times on POROS,EM5100987,2235,2244,2244,0,100%,719,32%,49,7%,
Analytics for cell culture results,AMER,BCD,Batch & Blast,Awareness,CCCT - SO No edits - BioProduct Analysis Email-Ame,EM5093616,6843,6843,6814,29,100%,2968,43%,532,18%,$599061
Analytics for cell culture results,To Be Mapped,BCD,Batch & Blast,Awareness,CCCT - SO No edits - BioProduct Analysis Email-Ame,EM5093616,1809,1809,1777,32,98%,859,47%,268,31%,
Amended Date: Knowledge Culture Workshop—Microbial Bioprocessing Innovation,AMER,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,272,272,272,0,100%,160,59%,2,1%,
Amended Date: Knowledge Culture Workshop—Microbial Bioprocessing Innovation,EMEA,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,11440,11443,11443,0,100%,5205,45%,170,3%,
Amended Date: Knowledge Culture Workshop—Microbial Bioprocessing Innovation,To Be Mapped,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,649,649,649,0,100%,375,58%,16,4%,
All-in-one kit for residual kanamycin resistance,AMER,SUD,MAP,Consideration,eT2 - MAP - PA NPI KanR resDNASEQ - Single Source,EM5091577,375,375,375,0,100%,137,37%,15,11%,
All-in-one kit for residual kanamycin resistance,EMEA,SUD,MAP,Consideration,eT2 - MAP - PA NPI KanR resDNASEQ - Single Source,EM5091577,146,146,146,0,100%,74,51%,0,0%,
Alert: 15-week lead times,AMER,PPA,Batch & Blast,Awareness,SO-PUR-15-Week Poros Resin Lead Times-Americas,EM5101051,7143,7143,7143,0,100%,1604,22%,106,7%,$324956
AGT dry media for bioprocessing,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - AGT Cross-Sell with SU,EM5107217,5056,5056,5056,0,100%,1180,23%,135,11%,$455
AGT dry media for bioprocessing,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - AGT Cross-Sell with SU,EM5107217,1063,1063,1063,0,100%,209,20%,43,21%,
Advance workflows with CD medium,AMER,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,5209,5209,5209,0,100%,1297,25%,80,6%,$705246
Advance workflows with CD medium,To Be Mapped,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,421,421,421,0,100%,102,24%,5,5%,
Advance media development with omics,AMER,To Be Mapped,MAP,Awareness,2022_Q3_Media Development Webinar email,EM5095255,404,404,402,2,100%,37,9%,3,8%,
Advance media development with omics,APJ,To Be Mapped,MAP,Awareness,2022_Q3_Media Development Webinar email,EM5095255,121,121,118,3,98%,12,10%,0,0%,
Advance media development with omics,EMEA,To Be Mapped,MAP,Awareness,2022_Q3_Media Development Webinar email,EM5095255,13260,13260,13059,201,98%,1243,9%,185,15%,
Advance media development with omics,To Be Mapped,To Be Mapped,MAP,Awareness,2022_Q3_Media Development Webinar email,EM5095255,1833,1833,1754,79,96%,125,7%,62,50%,
